movieId,imdbId,actor1,actor2,director
1,114709,158,741,165472
2,113497,245,404993,165472
3,113228,527,493,165472
4,114885,1365,291,165472
5,113041,188,473,165472
6,113277,199,134,165472
7,114319,148,566,165472
8,112302,1795,605,165472
9,114576,241,959,165472
10,113189,112,293,165472
11,112346,14,906,165472
12,112896,558,1493,165472
13,112453,102,1364,165472
14,113987,164,26,165472
15,112760,133,546,165472
16,112641,134,232,165472
17,114388,281424,929489,165472
18,113101,205423,4866,165472
19,112281,12,573862,165472
20,113845,648,437,165472
21,113161,237,432,165472
22,112722,244,456,165472
23,112401,23,104,165472
24,114168,546,1218,165472
25,113627,115,223,165472
26,114057,401,1393,165472
27,114011,207,528,165472
28,114117,7405,1354,165472
29,112682,579,256399,165472
30,115012,84,508349,165472
31,112792,201,1169,165472
32,114746,577828,246,165472
34,112431,4815,546816,165472
36,112818,215,576,165472
38,113442,263,43,165472
39,112697,224,1107,165472
40,112749,469,1321,165472
41,114279,100815,223266,165472
42,112819,5478,202966,165472
43,114272,375,554,165472
44,113855,483,795225,165472
45,114681,173,369,165472
46,113347,185644,185645,165472
47,114369,151,1825,165472
48,114148,48589,288,165472
49,114916,124481,6692,165472
50,114814,286,321,165472
52,113819,86322,147503,165472
53,110299,516272,686375,165472
54,112499,43,1882,165472
55,113158,492,1858,165472
57,113321,456,375,165472
58,110877,634159,873385,165472
60,113419,769136,514342,165472
61,116260,398,438,165472
62,113862,377,444,165472
63,116126,915465,5541,165472
64,118002,1459,113,165472
65,115683,40472,236225,165472
66,116839,92,1242,165472
68,113149,721,1929,165472
69,113118,1084,676,165472
70,116367,123,233,165472
71,113010,287,34,165472
72,113537,357979,332489,165472
73,113828,901,99378,165472
74,115644,225,524,165472
75,115676,1548,792,165472
76,114367,693,1163,165472
77,113973,630113,42106,165472
78,112744,197,1556,165472
79,116731,193,285,165472
80,112445,595869,43576,165472
81,114660,412,502,165472
82,112379,2168,234579,165472
83,114039,293272,711118,165472
85,112365,753314,218,165472
86,118158,313,328751,165472
87,116151,4517,1159,165472
88,115697,394,545,165472
89,113972,136,153733,165472
92,117002,21,518,165472
93,114825,552,291,165472
94,115639,369,1187,165472
95,115759,237,225,165472
96,113403,1972,153381,165472
97,113247,1993,468003,165472
99,113283,112374,3189486,165472
100,115907,199,131,165472
101,115734,5561,5562,165472
102,117102,1122,597,165472
103,118040,501,4,165472
104,116483,1191,152,165472
105,112579,142,658,165472
106,110251,775056,762997,165472
107,117110,347,175262,165472
108,112646,877258,15823,165472
110,112573,732703,492566,165472
111,75314,7958,12524,165472
112,113326,329,611315,165472
113,115645,658,553,165472
116,112373,11,1513421,165472
117,115033,36653,790689,165472
118,116606,572,769703,165472
119,114536,412,273,165472
121,106473,1089,605601,165472
122,103859,552,2101,165472
123,109424,510857,504897,165472
125,116324,1774,99,165472
126,110647,725284,443139,165472
128,110217,169012,671733,165472
129,114131,1038,162,165472
132,113451,325,4,165472
135,116130,1288,452,165472
137,113756,66815,840066,165472
140,118055,602,201,165472
141,115685,245,432,165472
144,112585,16589,827,165472
145,112442,102288,848075,165472
146,112342,2332,805429,165472
147,112461,138,966,165472
148,112427,614,424,165472
149,109093,1376,233027,165472
150,112384,158,2,165472
151,114287,553,1448,165472
152,112288,666,686,165472
153,112462,174,169,165472
154,61395,366,814799,165472
155,112495,99,461931,165472
156,112541,715563,15,165472
157,109370,1006,257,165472
158,112642,50314,904153,165472
159,112688,172,1806,165472
160,112715,1473,90962,165472
161,112740,243,432,165472
162,109508,190054,464642,165472
163,112851,104,161,165472
164,112857,243,1744,165472
165,112864,246,46,165472
166,112887,1166,535,165472
168,113071,125,152,165472
169,113114,725284,135584,165472
170,113243,1538,1401,165472
171,113464,1836,414772,165472
172,113481,206,539,165472
173,113492,23,8,165472
174,113500,1736,119,165472
175,113540,280559,1344991,165472
176,113677,114,1416,165472
177,113690,836,24946,165472
